,State,MSA,Month,Monthly_Goals_Adds,YTD_Goals_Adds
0,AL,Alaska,2021-01-31,0.0,0.0
1,AL,Alaska,2021-02-28,0.0,0.0
2,AL,Alaska,2021-03-31,0.0,0.0
3,AL,Alaska,2021-04-30,0.0,0.0
4,AL,Alaska,2021-05-31,0.0,0.0
5,AL,Alaska,2021-06-30,0.0,0.0
6,AL,Alaska,2021-07-31,0.0,0.0
7,AL,Alaska,2021-08-31,0.0,0.0
8,AL,Alaska,2021-09-30,0.0,0.0
9,AL,Alaska,2021-10-31,0.0,0.0
10,AL,Alaska,2021-11-30,0.0,0.0
11,AL,Alaska,2021-12-31,0.0,0.0
12,AL,Birmingham AL,2021-01-31,0.0,0.0
13,AL,Birmingham AL,2021-02-28,0.0,0.0
14,AL,Birmingham AL,2021-03-31,0.0,0.0
15,AL,Birmingham AL,2021-04-30,0.0,0.0
16,AL,Birmingham AL,2021-05-31,0.0,0.0
17,AL,Birmingham AL,2021-06-30,0.0,0.0
18,AL,Birmingham AL,2021-07-31,0.0,0.0
19,AL,Birmingham AL,2021-08-31,0.0,0.0
20,AL,Birmingham AL,2021-09-30,0.0,0.0
21,AL,Birmingham AL,2021-10-31,0.0,0.0
22,AL,Birmingham AL,2021-11-30,0.0,0.0
23,AL,Birmingham AL,2021-12-31,0.0,0.0
24,AL,Mobile AL,2021-01-31,0.0,0.0
25,AL,Mobile AL,2021-02-28,0.0,0.0
26,AL,Mobile AL,2021-03-31,0.0,0.0
27,AL,Mobile AL,2021-04-30,0.0,0.0
28,AL,Mobile AL,2021-05-31,0.0,0.0
29,AL,Mobile AL,2021-06-30,0.0,0.0
30,AL,Mobile AL,2021-07-31,0.0,0.0
31,AL,Mobile AL,2021-08-31,0.0,0.0
32,AL,Mobile AL,2021-09-30,0.0,0.0
33,AL,Mobile AL,2021-10-31,0.0,0.0
34,AL,Mobile AL,2021-11-30,0.0,0.0
35,AL,Mobile AL,2021-12-31,0.0,0.0
36,AL,Montgomery AL,2021-01-31,0.0,0.0
37,AL,Montgomery AL,2021-02-28,0.0,0.0
38,AL,Montgomery AL,2021-03-31,0.0,0.0
39,AL,Montgomery AL,2021-04-30,0.0,0.0
40,AL,Montgomery AL,2021-05-31,0.0,0.0
41,AL,Montgomery AL,2021-06-30,0.0,0.0
42,AL,Montgomery AL,2021-07-31,0.0,0.0
43,AL,Montgomery AL,2021-08-31,0.0,0.0
44,AL,Montgomery AL,2021-09-30,0.0,0.0
45,AL,Montgomery AL,2021-10-31,0.0,0.0
46,AL,Montgomery AL,2021-11-30,0.0,0.0
47,AL,Montgomery AL,2021-12-31,0.0,0.0
48,AL,Other AL,2021-01-31,0.0,0.0
49,AL,Other AL,2021-02-28,0.0,0.0
50,AL,Other AL,2021-03-31,0.0,0.0
51,AL,Other AL,2021-04-30,0.0,0.0
52,AL,Other AL,2021-05-31,0.0,0.0
53,AL,Other AL,2021-06-30,0.0,0.0
54,AL,Other AL,2021-07-31,0.0,0.0
