,MSA,State
0,Akron OH,OH
1,Alaska,AK
2,Albany NY,NY
3,Albuquerque NM,NM
4,Allentown PA,PA
5,Arkansas,AR
6,Athens GA,GA
7,Atlanta GA,GA
8,Atlanta Suburbs GA,GA
9,Atlantic City NJ,NJ
10,Austin TX,TX
11,Bakersfield CA,CA
12,Baltimore MD,MD
13,Baltimore Suburbs MD,MD
14,Baton Rouge LA,LA
15,Birmingham AL,AL
16,Boise ID,ID
17,Boston MA,MA
18,Brooklyn NY,NY
19,Buffalo NY,NY
20,Charleston SC,SC
21,Charleston WV,WV
22,Charlotte NC,NC
23,Chattanooga TN,TN
24,Chicago IL,IL
25,Cincinnati OH,OH
26,Cleveland OH,OH
27,Colorado Springs CO,CO
28,Columbia SC,SC
29,Columbus OH,OH
30,Dallas TX,TX
31,Dayton OH,OH
32,Delaware,DE
33,Denver CO,CO
34,Detroit MI,MI
35,El Paso TX,TX
36,Florence SC,SC
37,Fort Myers-Naples FL,FL
38,Fort Worth-Arlington TX,TX
39,Fresno CA,CA
40,Gary-Hammond IN,IN
41,Green Bay-Appleton WI,WI
42,Greensboro-Winston-Salem NC,NC
43,Greenville-Spartanburg SC,SC
44,Harrisburg PA,PA
45,Hartford CT,CT
46,Hawaii,HI
47,Houston TX,TX
48,Indianapolis IN,IN
49,Iowa,IA
50,Jackson MS,MS
51,Jacksonville FL,FL
52,Jersey City-Newark NJ,NJ
53,Kansas,KS
54,Kansas City MO,MO
55,Knoxville TN,TN
56,Las Vegas NV,NV
57,Lexington KY,KY
58,Los Angeles CA,CA
59,Louisville KY,KY
60,Madison WI,WI
61,Maine,ME
62,Manhattan NY,NY
63,Memphis TN,TN
64,Miami-Fort Lauderdale FL,FL
65,Milwaukee WI,WI
66,Minneapolis-St Paul MN,MN
67,Mobile AL,AL
68,Montana,MT
69,Montgomery AL,AL
70,Nashville TN,TN
71,Nebraska,NE
72,New Brunswick NJ,NJ
73,New Hampshire,NH
74,New Haven CT,CT
75,New Orleans LA,LA
76,Norfolk-VA Beach VA,VA
77,North Dakota,ND
78,NYC Suburbs NY,NY
79,Oakland CA,CA
80,Oklahoma City OK,OK
81,Oregon,OR
82,Orlando FL,FL
83,Other AL,AL
84,Other AZ,AZ
85,Other CA,CA
86,Other CO,CO
87,Other FL,FL
88,Other GA,GA
89,Other ID,ID
90,Other IN,IN
91,Other KY,KY
92,Other LA,LA
93,Other MA,MA
94,Other MD,MD
95,Other MI,MI
96,Other MN,MN
97,Other MO,MO
98,Other MS,MS
99,Other NC,NC
100,Other NJ,NJ
101,Other NM,NM
102,Other NY,NY
103,Other OH,OH
104,Other OK,OK
105,Other PA,PA
106,Other TN,TN
107,Other TX,TX
108,Other UT,UT
109,Other VA,VA
110,Other WA,WA
111,Other WI,WI
112,Other WV,WV
113,Peoria IL,IL
114,Philadelphia PA,PA
115,Phoenix AZ,AZ
116,Pittsburgh PA,PA
117,Queens NY,NY
118,Raleigh-Durham NC,NC
119,Reno NV,NV
120,Rhode Island,RI
121,Richmond-Petersburg VA,VA
122,Rochester NY,NY
123,Rock Hill SC,SC
124,Rockford IL,IL
125,Sacramento CA,CA
126,Salt Lake City UT,UT
127,San Antonio TX,TX
128,San Bernardino-Riverside CA,CA
129,San Diego CA,CA
130,San Francisco CA,CA
131,San Jose CA,CA
132,Santa Ana-Anaheim CA,CA
133,Seattle WA,WA
134,South Dakota,SD
135,Southern IL,IL
136,Southwest MI,MI
137,Spokane WA,WA
138,St Louis MO,MO
139,Stamford CT,CT
140,Staten Island-Bronx NY,NY
141,Syracuse NY,NY
142,Tacoma WA,WA
143,Tampa-St Petersburg FL,FL
144,Toledo OH,OH
145,Trenton NJ,NJ
146,Tucson AZ,AZ
147,Tulsa OK,OK
148,Utica NY,NY
149,VA-DC Suburbs VA,VA
150,Vermont,VT
151,Washington DC,DC
152,West Palm Beach-Boca Raton FL,FL
153,Worcester MA,MA
154,Wyoming,WY
