,ReportDate1
0,2021-01-31
1,2021-01-31
2,2021-01-31
3,2021-01-31
4,2021-01-31
5,2021-01-31
6,2021-01-31
7,2021-01-31
8,2021-01-31
9,2021-01-31
10,2021-01-31
11,2021-01-31
12,2021-01-31
13,2021-01-31
14,2021-01-31
15,2021-01-31
16,2021-01-31
17,2021-01-31
18,2021-01-31
19,2021-01-31
20,2021-01-31
21,2021-01-31
22,2021-01-31
23,2021-01-31
24,2021-01-31
25,2021-01-31
26,2021-01-31
27,2021-01-31
28,2021-01-31
29,2021-01-31
30,2021-01-31
31,2021-01-31
32,2021-01-31
33,2021-01-31
34,2021-01-31
35,2021-01-31
36,2021-01-31
37,2021-01-31
38,2021-01-31
39,2021-01-31
40,2021-01-31
41,2021-01-31
42,2021-01-31
43,2021-01-31
44,2021-01-31
45,2021-01-31
46,2021-01-31
47,2021-01-31
48,2021-01-31
49,2021-01-31
50,2021-01-31
51,2021-01-31
52,2021-01-31
53,2021-01-31
54,2021-01-31
55,2021-01-31
56,2021-01-31
57,2021-01-31
58,2021-01-31
59,2021-01-31
60,2021-01-31
61,2021-01-31
62,2021-01-31
63,2021-01-31
64,2021-01-31
65,2021-01-31
66,2021-01-31
67,2021-01-31
68,2021-01-31
69,2021-01-31
70,2021-01-31
71,2021-01-31
72,2021-01-31
73,2021-01-31
74,2021-01-31
75,2021-01-31
76,2021-01-31
77,2021-01-31
78,2021-01-31
79,2021-01-31
80,2021-01-31
81,2021-01-31
82,2021-01-31
83,2021-01-31
84,2021-01-31
85,2021-01-31
86,2021-01-31
87,2021-01-31
88,2021-01-31
89,2021-01-31
90,2021-01-31
91,2021-01-31
92,2021-01-31
93,2021-01-31
94,2021-01-31
95,2021-01-31
96,2021-01-31
97,2021-01-31
98,2021-01-31
99,2021-01-31
100,2021-01-31
101,2021-01-31
102,2021-01-31
103,2021-01-31
104,2021-01-31
105,2021-01-31
106,2021-01-31
107,2021-01-31
108,2021-01-31
109,2021-01-31
110,2021-01-31
111,2021-01-31
112,2021-01-31
113,2021-01-31
114,2021-01-31
115,2021-01-31
116,2021-01-31
117,2021-01-31
118,2021-01-31
119,2021-01-31
120,2021-01-31
121,2021-01-31
122,2021-01-31
123,2021-01-31
124,2021-01-31
125,2021-01-31
126,2021-01-31
127,2021-01-31
128,2021-01-31
129,2021-01-31
130,2021-01-31
131,2021-01-31
132,2021-01-31
133,2021-01-31
134,2021-01-31
135,2021-01-31
136,2021-01-31
137,2021-01-31
138,2021-01-31
139,2021-01-31
140,2021-01-31
141,2021-01-31
142,2021-01-31
143,2021-01-31
144,2021-01-31
145,2021-01-31
146,2021-01-31
147,2021-01-31
148,2021-01-31
149,2021-01-31
150,2021-01-31
151,2021-01-31
152,2021-01-31
153,2021-01-31
154,2021-01-31
155,2021-02-28
156,2021-02-28
157,2021-02-28
158,2021-02-28
159,2021-02-28
160,2021-02-28
161,2021-02-28
162,2021-02-28
163,2021-02-28
164,2021-02-28
165,2021-02-28
166,2021-02-28
167,2021-02-28
168,2021-02-28
169,2021-02-28
170,2021-02-28
171,2021-02-28
172,2021-02-28
173,2021-02-28
174,2021-02-28
175,2021-02-28
176,2021-02-28
177,2021-02-28
178,2021-02-28
179,2021-02-28
180,2021-02-28
181,2021-02-28
182,2021-02-28
183,2021-02-28
184,2021-02-28
185,2021-02-28
186,2021-02-28
187,2021-02-28
188,2021-02-28
189,2021-02-28
190,2021-02-28
191,2021-02-28
192,2021-02-28
193,2021-02-28
194,2021-02-28
195,2021-02-28
196,2021-02-28
197,2021-02-28
198,2021-02-28
199,2021-02-28
200,2021-02-28
201,2021-02-28
202,2021-02-28
203,2021-02-28
204,2021-02-28
205,2021-02-28
206,2021-02-28
207,2021-02-28
208,2021-02-28
209,2021-02-28
210,2021-02-28
211,2021-02-28
212,2021-02-28
213,2021-02-28
214,2021-02-28
215,2021-02-28
216,2021-02-28
217,2021-02-28
218,2021-02-28
219,2021-02-28
220,2021-02-28
221,2021-02-28
222,2021-02-28
223,2021-02-28
224,2021-02-28
225,2021-02-28
226,2021-02-28
227,2021-02-28
228,2021-02-28
229,2021-02-28
230,2021-02-28
231,2021-02-28
232,2021-02-28
233,2021-02-28
234,2021-02-28
235,2021-02-28
236,2021-02-28
237,2021-02-28
238,2021-02-28
239,2021-02-28
240,2021-02-28
241,2021-02-28
242,2021-02-28
243,2021-02-28
244,2021-02-28
245,2021-02-28
246,2021-02-28
247,2021-02-28
248,2021-02-28
249,2021-02-28
250,2021-02-28
251,2021-02-28
252,2021-02-28
253,2021-02-28
254,2021-02-28
255,2021-02-28
256,2021-02-28
257,2021-02-28
258,2021-02-28
259,2021-02-28
260,2021-02-28
261,2021-02-28
262,2021-02-28
263,2021-02-28
264,2021-02-28
265,2021-02-28
266,2021-02-28
267,2021-02-28
268,2021-02-28
269,2021-02-28
270,2021-02-28
271,2021-02-28
272,2021-02-28
273,2021-02-28
274,2021-02-28
275,2021-02-28
276,2021-02-28
277,2021-02-28
278,2021-02-28
279,2021-02-28
280,2021-02-28
281,2021-02-28
282,2021-02-28
283,2021-02-28
284,2021-02-28
285,2021-02-28
286,2021-02-28
287,2021-02-28
288,2021-02-28
289,2021-02-28
290,2021-02-28
291,2021-02-28
292,2021-02-28
293,2021-02-28
294,2021-02-28
295,2021-02-28
296,2021-02-28
297,2021-02-28
298,2021-02-28
299,2021-02-28
300,2021-02-28
301,2021-02-28
302,2021-02-28
303,2021-02-28
304,2021-02-28
305,2021-02-28
306,2021-02-28
307,2021-02-28
308,2021-02-28
309,2021-02-28
310,2021-03-31
311,2021-03-31
312,2021-03-31
313,2021-03-31
314,2021-03-31
315,2021-03-31
316,2021-03-31
317,2021-03-31
318,2021-03-31
319,2021-03-31
320,2021-03-31
321,2021-03-31
322,2021-03-31
323,2021-03-31
324,2021-03-31
325,2021-03-31
326,2021-03-31
327,2021-03-31
328,2021-03-31
329,2021-03-31
330,2021-03-31
331,2021-03-31
332,2021-03-31
333,2021-03-31
334,2021-03-31
335,2021-03-31
336,2021-03-31
337,2021-03-31
338,2021-03-31
339,2021-03-31
340,2021-03-31
341,2021-03-31
342,2021-03-31
343,2021-03-31
344,2021-03-31
345,2021-03-31
346,2021-03-31
347,2021-03-31
348,2021-03-31
349,2021-03-31
350,2021-03-31
351,2021-03-31
352,2021-03-31
353,2021-03-31
354,2021-03-31
355,2021-03-31
356,2021-03-31
357,2021-03-31
358,2021-03-31
359,2021-03-31
360,2021-03-31
361,2021-03-31
362,2021-03-31
363,2021-03-31
364,2021-03-31
365,2021-03-31
366,2021-03-31
367,2021-03-31
368,2021-03-31
369,2021-03-31
370,2021-03-31
371,2021-03-31
372,2021-03-31
373,2021-03-31
374,2021-03-31
375,2021-03-31
376,2021-03-31
377,2021-03-31
378,2021-03-31
379,2021-03-31
380,2021-03-31
381,2021-03-31
382,2021-03-31
383,2021-03-31
384,2021-03-31
385,2021-03-31
386,2021-03-31
387,2021-03-31
388,2021-03-31
389,2021-03-31
390,2021-03-31
391,2021-03-31
392,2021-03-31
393,2021-03-31
394,2021-03-31
395,2021-03-31
396,2021-03-31
397,2021-03-31
398,2021-03-31
399,2021-03-31
400,2021-03-31
401,2021-03-31
402,2021-03-31
403,2021-03-31
404,2021-03-31
405,2021-03-31
406,2021-03-31
407,2021-03-31
408,2021-03-31
409,2021-03-31
410,2021-03-31
411,2021-03-31
412,2021-03-31
413,2021-03-31
414,2021-03-31
415,2021-03-31
416,2021-03-31
417,2021-03-31
418,2021-03-31
419,2021-03-31
420,2021-03-31
421,2021-03-31
422,2021-03-31
423,2021-03-31
424,2021-03-31
425,2021-03-31
426,2021-03-31
427,2021-03-31
428,2021-03-31
429,2021-03-31
430,2021-03-31
431,2021-03-31
432,2021-03-31
433,2021-03-31
434,2021-03-31
435,2021-03-31
436,2021-03-31
437,2021-03-31
438,2021-03-31
439,2021-03-31
440,2021-03-31
441,2021-03-31
442,2021-03-31
443,2021-03-31
444,2021-03-31
445,2021-03-31
446,2021-03-31
447,2021-03-31
448,2021-03-31
449,2021-03-31
450,2021-03-31
451,2021-03-31
452,2021-03-31
453,2021-03-31
454,2021-03-31
455,2021-03-31
456,2021-03-31
457,2021-03-31
458,2021-03-31
459,2021-03-31
460,2021-03-31
461,2021-03-31
462,2021-03-31
463,2021-03-31
464,2021-03-31
465,2021-04-30
466,2021-04-30
467,2021-04-30
468,2021-04-30
469,2021-04-30
470,2021-04-30
471,2021-04-30
472,2021-04-30
473,2021-04-30
474,2021-04-30
475,2021-04-30
476,2021-04-30
477,2021-04-30
478,2021-04-30
479,2021-04-30
480,2021-04-30
481,2021-04-30
482,2021-04-30
483,2021-04-30
484,2021-04-30
485,2021-04-30
486,2021-04-30
487,2021-04-30
488,2021-04-30
489,2021-04-30
490,2021-04-30
491,2021-04-30
492,2021-04-30
493,2021-04-30
494,2021-04-30
495,2021-04-30
496,2021-04-30
497,2021-04-30
498,2021-04-30
499,2021-04-30
500,2021-04-30
501,2021-04-30
502,2021-04-30
503,2021-04-30
504,2021-04-30
505,2021-04-30
506,2021-04-30
507,2021-04-30
508,2021-04-30
509,2021-04-30
510,2021-04-30
511,2021-04-30
512,2021-04-30
513,2021-04-30
514,2021-04-30
515,2021-04-30
516,2021-04-30
517,2021-04-30
518,2021-04-30
519,2021-04-30
520,2021-04-30
521,2021-04-30
522,2021-04-30
523,2021-04-30
524,2021-04-30
525,2021-04-30
526,2021-04-30
527,2021-04-30
528,2021-04-30
529,2021-04-30
530,2021-04-30
531,2021-04-30
532,2021-04-30
533,2021-04-30
534,2021-04-30
535,2021-04-30
536,2021-04-30
537,2021-04-30
538,2021-04-30
539,2021-04-30
540,2021-04-30
541,2021-04-30
542,2021-04-30
543,2021-04-30
544,2021-04-30
545,2021-04-30
546,2021-04-30
547,2021-04-30
548,2021-04-30
549,2021-04-30
550,2021-04-30
551,2021-04-30
552,2021-04-30
553,2021-04-30
554,2021-04-30
555,2021-04-30
556,2021-04-30
557,2021-04-30
558,2021-04-30
559,2021-04-30
560,2021-04-30
561,2021-04-30
562,2021-04-30
563,2021-04-30
564,2021-04-30
565,2021-04-30
566,2021-04-30
567,2021-04-30
568,2021-04-30
569,2021-04-30
570,2021-04-30
571,2021-04-30
572,2021-04-30
573,2021-04-30
574,2021-04-30
575,2021-04-30
576,2021-04-30
577,2021-04-30
578,2021-04-30
579,2021-04-30
580,2021-04-30
581,2021-04-30
582,2021-04-30
583,2021-04-30
584,2021-04-30
585,2021-04-30
586,2021-04-30
587,2021-04-30
588,2021-04-30
589,2021-04-30
590,2021-04-30
591,2021-04-30
592,2021-04-30
593,2021-04-30
594,2021-04-30
595,2021-04-30
596,2021-04-30
597,2021-04-30
598,2021-04-30
599,2021-04-30
600,2021-04-30
601,2021-04-30
602,2021-04-30
603,2021-04-30
604,2021-04-30
605,2021-04-30
606,2021-04-30
607,2021-04-30
608,2021-04-30
609,2021-04-30
610,2021-04-30
611,2021-04-30
612,2021-04-30
613,2021-04-30
614,2021-04-30
615,2021-04-30
616,2021-04-30
617,2021-04-30
618,2021-04-30
619,2021-04-30
620,2021-05-31
621,2021-05-31
622,2021-05-31
623,2021-05-31
624,2021-05-31
625,2021-05-31
626,2021-05-31
627,2021-05-31
628,2021-05-31
629,2021-05-31
630,2021-05-31
631,2021-05-31
632,2021-05-31
633,2021-05-31
634,2021-05-31
635,2021-05-31
636,2021-05-31
637,2021-05-31
638,2021-05-31
639,2021-05-31
640,2021-05-31
641,2021-05-31
642,2021-05-31
643,2021-05-31
644,2021-05-31
645,2021-05-31
646,2021-05-31
647,2021-05-31
648,2021-05-31
649,2021-05-31
650,2021-05-31
651,2021-05-31
652,2021-05-31
653,2021-05-31
654,2021-05-31
655,2021-05-31
656,2021-05-31
657,2021-05-31
658,2021-05-31
659,2021-05-31
660,2021-05-31
661,2021-05-31
662,2021-05-31
663,2021-05-31
664,2021-05-31
665,2021-05-31
666,2021-05-31
667,2021-05-31
668,2021-05-31
669,2021-05-31
670,2021-05-31
671,2021-05-31
672,2021-05-31
673,2021-05-31
674,2021-05-31
675,2021-05-31
676,2021-05-31
677,2021-05-31
678,2021-05-31
679,2021-05-31
680,2021-05-31
681,2021-05-31
682,2021-05-31
683,2021-05-31
