,Filter,Report Date,Monthly_Goals_Adds,Monthly_Goals_Terms,YTD_Goals_Adds,YTD_Goals_Terms
0,Nationwide,2021-01-31,692.23,612.82,692.23,612.82
1,Nationwide,2021-02-28,540.05,461.8,1232.28,1074.61
2,Nationwide,2021-03-31,670.11,653.13,1902.39,1727.75
3,Nationwide,2021-04-30,511.45,426.24,2413.84,2153.99
4,Nationwide,2021-05-31,541.79,516.87,2955.63,2670.86
5,Nationwide,2021-06-30,398.58,433.12,3354.21,3103.97
6,Nationwide,2021-07-31,537.92,307.02,3892.13,3410.99
7,Nationwide,2021-08-31,1009.02,462.03,4901.15,3873.03
8,Nationwide,2021-09-30,925.04,350.55,5826.18,4223.57
9,Nationwide,2021-10-31,618.84,439.88,6445.02,4663.46
10,Nationwide,2021-11-30,1061.4,714.81,7506.42,5378.27
11,Nationwide,2021-12-31,479.87,428.3,7986.29,5806.57
12,Nationwide,2022-01-31,439.0,605.0,439.0,605.0
13,Nationwide,2022-02-28,559.0,532.0,998.0,1137.0
14,Nationwide,2022-03-31,526.0,485.0,1524.0,1622.0
15,Nationwide,2022-04-30,492.0,534.0,2016.0,2156.0
16,Nationwide,2022-05-31,414.0,458.0,2430.0,2614.0
17,Nationwide,2022-06-30,427.0,410.0,2858.0,3024.0
18,Nationwide,2022-07-31,555.0,327.0,3413.0,3351.0
19,Nationwide,2022-08-31,566.0,375.0,3979.0,3725.0
20,Nationwide,2022-09-30,618.0,453.0,4597.0,4179.0
21,Nationwide,2022-10-31,583.0,540.0,5180.0,4719.0
22,Nationwide,2022-11-30,562.0,523.0,5742.0,5242.0
23,Nationwide,2022-12-31,542.0,473.0,6284.0,5715.0
