,report_date as date,report_date,DSO Provider Flag,Adds,Savings,Discount of Adds,Actionable/Inactionable,Terms
0,2021-01-31,01-31-2021,DSO,245,304495.5365765102,0.3903777661177821,,
1,2021-01-31,01-31-2021,Non DSO,447,600392.681548571,0.4023392748073881,,
2,2021-02-28,02-28-2021,DSO,191,237557.31941943697,0.3903777661177821,,
3,2021-02-28,02-28-2021,Non DSO,349,468406.4588640963,0.40233927480738796,,
4,2021-03-31,03-31-2021,DSO,237,294768.0070849674,0.39037776611778213,,
5,2021-03-31,03-31-2021,Non DSO,433,581212.3100333294,0.4023392748073885,,
6,2021-04-30,04-30-2021,DSO,181,224976.19157950414,0.3903777661177821,,
7,2021-04-30,04-30-2021,Non DSO,330,443599.4709993509,0.4023392748073878,,
8,2021-05-31,05-31-2021,DSO,192,238323.6339421479,0.3903777661177819,,
9,2021-05-31,05-31-2021,Non DSO,350,469917.4486026419,0.4023392748073879,,
10,2021-06-30,06-30-2021,DSO,141,175327.95739743172,0.3903777661177825,,
11,2021-06-30,06-30-2021,Non DSO,257,345704.977077152,0.40233927480738774,,
12,2021-07-31,07-31-2021,DSO,191,236618.1516999821,0.3903777661177815,,
13,2021-07-31,07-31-2021,Non DSO,347,466554.6437871102,0.4023392748073879,,
14,2021-08-31,08-31-2021,DSO,358,443846.0713443223,0.39037776611778197,,
15,2021-08-31,08-31-2021,Non DSO,651,875158.7493377173,0.4023392748073881,,
16,2021-09-30,09-30-2021,DSO,328,406905.1581714142,0.390377766117782,,
17,2021-09-30,09-30-2021,Non DSO,597,802320.066156684,0.4023392748073881,,
18,2021-10-31,10-31-2021,DSO,219,272213.7971122089,0.3903777661177822,,
19,2021-10-31,10-31-2021,Non DSO,400,536740.7793238752,0.4023392748073883,,
20,2021-11-30,11-30-2021,DSO,376,466887.48995715217,0.3903777661177819,,
21,2021-11-30,11-30-2021,Non DSO,685,920590.9394551052,0.4023392748073882,,
22,2021-12-31,12-31-2021,DSO,170,211085.8550258368,0.39037776611778174,,
23,2021-12-31,12-31-2021,Non DSO,310,416211.0353433393,0.40233927480738807,,
24,2020-01-31,01-31-2020,DSO,,,,,
25,2020-01-31,01-31-2020,Non DSO,,,,,
26,2020-02-29,02-29-2020,DSO,,,,,
27,2020-02-29,02-29-2020,Non DSO, ,,,,
28,2020-03-31,03-31-2020,DSO,,,,,
29,2020-03-31,03-31-2020,Non DSO,,,,,
30,2020-04-30,04-30-2020,DSO,,,,,
31,2020-04-30,04-30-2020,Non DSO,,,,,
32,2020-05-31,05-31-2020,DSO,,,,,
33,2020-05-31,05-31-2020,Non DSO,,,,,
34,2020-06-30,06-30-2020,DSO,,,,,
35,2020-06-30,06-30-2020,Non DSO,,,,,
36,2020-07-31,07-31-2020,DSO,,,,,
37,2020-07-31,07-31-2020,Non DSO,,,,,
38,2020-08-31,08-31-2020,DSO,,,,,
39,2020-08-31,08-31-2020,Non DSO,,,,,
40,2020-09-30,09-30-2020,DSO,,,,,
41,2020-09-30,09-30-2020,Non DSO,,,,,
42,2020-10-31,10-31-2020,DSO,,,,,
43,2020-10-31,10-31-2020,Non DSO,,,,,
44,2020-11-30,11-30-2020,DSO,,,,,
45,2020-11-30,11-30-2020,Non DSO,,,,,
46,2020-12-31,12-31-2020,DSO,,,,,
47,2020-12-31,12-31-2020,Non DSO,,,,,
48,2021-01-31,01-31-2021,DSO,,,,Actionable,3.6938410882034005
49,2021-01-31,01-31-2021,DSO,,,,Inactionable,139.94380808450597
50,2021-01-31,01-31-2021,Non DSO,,,,Actionable,63.42852840029268
51,2021-01-31,01-31-2021,Non DSO,,,,Inactionable,405.7498763593625
52,2021-02-28,02-28-2021,DSO,,,,Actionable,2.7835611990060714
53,2021-02-28,02-28-2021,DSO,,,,Inactionable,105.4572042823443
54,2021-02-28,02-28-2021,Non DSO,,,,Actionable,47.797722302932826
55,2021-02-28,02-28-2021,Non DSO,,,,Inactionable,305.76020607447435
56,2021-03-31,03-31-2021,DSO,,,,Actionable,3.93686589048919
57,2021-03-31,03-31-2021,DSO,,,,Inactionable,149.15097630824775
58,2021-03-31,03-31-2021,Non DSO,,,,Actionable,67.60161143382872
59,2021-03-31,03-31-2021,Non DSO,,,,Inactionable,432.44492932052805
60,2021-04-30,04-30-2021,DSO,,,,Actionable,2.5692256308520913
61,2021-04-30,04-30-2021,DSO,,,,Inactionable,97.33694818599638
62,2021-04-30,04-30-2021,Non DSO,,,,Actionable,44.1172744040602
63,2021-04-30,04-30-2021,Non DSO,,,,Inactionable,282.21652127557314
64,2021-05-31,05-31-2021,DSO,,,,Actionable,3.115488487756097
65,2021-05-31,05-31-2021,DSO,,,,Inactionable,118.03250670755956
66,2021-05-31,05-31-2021,Non DSO,,,,Actionable,53.49738803261184
67,2021-05-31,05-31-2021,Non DSO,,,,Inactionable,342.22075030328045
68,2021-06-30,06-30-2021,DSO,,,,Actionable,2.610678137825953
69,2021-06-30,06-30-2021,DSO,,,,Inactionable,98.90740602163467
70,2021-06-30,06-30-2021,Non DSO,,,,Actionable,44.8290731666685
71,2021-06-30,06-30-2021,Non DSO,,,,Inactionable,286.769870804643
72,2021-07-31,07-31-2021,DSO,,,,Actionable,1.850618648314946
73,2021-07-31,07-31-2021,DSO,,,,Inactionable,70.11200936187481
74,2021-07-31,07-31-2021,Non DSO,,,,Actionable,31.777765932493786
75,2021-07-31,07-31-2021,Non DSO,,,,Inactionable,203.2811563388978
76,2021-08-31,08-31-2021,DSO,,,,Actionable,2.78496348701462
77,2021-08-31,08-31-2021,DSO,,,,Inactionable,105.51033096518246
78,2021-08-31,08-31-2021,Non DSO,,,,Actionable,47.821801591308194
79,2021-08-31,08-31-2021,Non DSO,,,,Inactionable,305.9142403635795
80,2021-09-30,09-30-2021,DSO,,,,Actionable,2.1129841910490454
81,2021-09-30,09-30-2021,DSO,,,,Inactionable,80.05191535231526
82,2021-09-30,09-30-2021,Non DSO,,,,Actionable,36.28295710915646
83,2021-09-30,09-30-2021,Non DSO,,,,Inactionable,232.1006924216195
84,2021-10-31,10-31-2021,DSO,,,,Actionable,2.651467980239173
85,2021-10-31,10-31-2021,DSO,,,,Inactionable,100.45275833706124
86,2021-10-31,10-31-2021,Non DSO,,,,Actionable,45.52949303210694
87,2021-10-31,10-31-2021,Non DSO,,,,Inactionable,291.25042996262556
88,2021-11-30,11-30-2021,DSO,,,,Actionable,4.308635467888656
89,2021-11-30,11-30-2021,DSO,,,,Inactionable,163.2357322977245
90,2021-11-30,11-30-2021,Non DSO,,,,Actionable,73.98542617717376
91,2021-11-30,11-30-2021,Non DSO,,,,Inactionable,473.28194868926647
92,2021-12-31,12-31-2021,DSO,,,,Actionable,2.5816697913607594
93,2021-12-31,12-31-2021,DSO,,,,Inactionable,97.80840409555334
94,2021-12-31,12-31-2021,Non DSO,,,,Actionable,44.33095841736618
95,2021-12-31,12-31-2021,Non DSO,,,,Inactionable,283.5834497565826
96,2020-01-31,01-31-2020,DSO,,,,Actionable,
