,level,metric,Month,FY,RentalGrowthGoal
0,NW,Adds,2021-01-31,7,692
1,NW,Adds,2021-02-28,7,540
2,NW,Adds,2021-03-31,7,670
3,NW,Adds,2021-04-30,7,511
4,NW,Adds,2021-05-31,7,542
5,NW,Adds,2021-06-30,7,399
6,NW,Adds,2021-07-31,7,538
7,NW,Adds,2021-08-31,7,1
8,NW,Adds,2021-09-30,7,925
9,NW,Adds,2021-10-31,7,619
10,NW,Adds,2021-11-30,7,1
11,NW,Adds,2021-12-31,7,480
12,NW,Rental Growth,2021-01-31,856,73
13,NW,Rental Growth,2021-02-28,856,73
14,NW,Rental Growth,2021-03-31,856,313
15,NW,Rental Growth,2021-04-30,856,-84
16,NW,Rental Growth,2021-05-31,856,73
17,NW,Rental Growth,2021-06-30,856,73
18,NW,Rental Growth,2021-07-31,856,73
19,NW,Rental Growth,2021-08-31,856,73
20,NW,Rental Growth,2021-09-30,856,73
21,NW,Rental Growth,2021-10-31,856,-27
22,NW,Rental Growth,2021-11-30,856,73
23,NW,Rental Growth,2021-12-31,856,73
24,NW,Savings,2021-01-31,10,904
25,NW,Savings,2021-02-28,10,705
26,NW,Savings,2021-03-31,10,875
27,NW,Savings,2021-04-30,10,668
28,NW,Savings,2021-05-31,10,708
29,NW,Savings,2021-06-30,10,521
30,NW,Savings,2021-07-31,10,703
31,NW,Savings,2021-08-31,10,1
32,NW,Savings,2021-09-30,10,1
33,NW,Savings,2021-10-31,10,808
34,NW,Savings,2021-11-30,10,1
35,NW,Savings,2021-12-31,10,627
36,NW,Terms,2021-01-31,5,613
37,NW,Terms,2021-02-28,5,462
38,NW,Terms,2021-03-31,5,653
39,NW,Terms,2021-04-30,5,426
40,NW,Terms,2021-05-31,5,517
41,NW,Terms,2021-06-30,5,433
42,NW,Terms,2021-07-31,5,307
43,NW,Terms,2021-08-31,5,462
44,NW,Terms,2021-09-30,5,351
45,NW,Terms,2021-10-31,5,440
46,NW,Terms,2021-11-30,5,715
47,NW,Terms,2021-12-31,5,428
48,NW,Adds,2022-01-31,6,439
49,NW,Adds,2022-02-28,6,559
50,NW,Adds,2022-03-31,6,526
51,NW,Adds,2022-04-30,6,492
52,NW,Adds,2022-05-31,6,414
53,NW,Adds,2022-06-30,6,427
54,NW,Adds,2022-07-31,6,555
55,NW,Adds,2022-08-31,6,566
56,NW,Adds,2022-09-30,6,618
57,NW,Adds,2022-10-31,6,583
58,NW,Adds,2022-11-30,6,562
59,NW,Adds,2022-12-31,6,542
60,NW,Rental Growth,2022-01-31,364,30
61,NW,Rental Growth,2022-02-28,364,30
62,NW,Rental Growth,2022-03-31,364,30
63,NW,Rental Growth,2022-04-30,364,30
64,NW,Rental Growth,2022-05-31,364,30
65,NW,Rental Growth,2022-06-30,364,30
66,NW,Rental Growth,2022-07-31,364,30
67,NW,Rental Growth,2022-08-31,364,30
68,NW,Rental Growth,2022-09-30,364,30
69,NW,Rental Growth,2022-10-31,364,30
70,NW,Rental Growth,2022-11-30,364,30
71,NW,Rental Growth,2022-12-31,364,30
72,NW,Savings,2022-01-31,454,31
73,NW,Savings,2022-02-28,454,40
74,NW,Savings,2022-03-31,454,38
75,NW,Savings,2022-04-30,454,35
76,NW,Savings,2022-05-31,454,29
77,NW,Savings,2022-06-30,454,30
78,NW,Savings,2022-07-31,454,40
79,NW,Savings,2022-08-31,454,40
80,NW,Savings,2022-09-30,454,44
81,NW,Savings,2022-10-31,454,42
82,NW,Savings,2022-11-30,454,40
83,NW,Savings,2022-12-31,454,39
84,NW,Terms,2022-01-31,5,605
85,NW,Terms,2022-02-28,5,532
86,NW,Terms,2022-03-31,5,485
87,NW,Terms,2022-04-30,5,534
88,NW,Terms,2022-05-31,5,458
89,NW,Terms,2022-06-30,5,410
90,NW,Terms,2022-07-31,5,327
91,NW,Terms,2022-08-31,5,375
92,NW,Terms,2022-09-30,5,453
93,NW,Terms,2022-10-31,5,540
94,NW,Terms,2022-11-30,5,523
95,NW,Terms,2022-12-31,5,473
