,report_date as date,report_date,DSO Provider Flag,Actionable/Inactionable,Terms
0,2021-01-31,01-31-2021,DSO,Actionable,3.6938410882034005
1,2021-01-31,01-31-2021,DSO,Inactionable,139.94380808450597
2,2021-01-31,01-31-2021,Non DSO,Actionable,63.42852840029268
3,2021-01-31,01-31-2021,Non DSO,Inactionable,405.7498763593625
4,2021-02-28,02-28-2021,DSO,Actionable,2.7835611990060714
5,2021-02-28,02-28-2021,DSO,Inactionable,105.4572042823443
6,2021-02-28,02-28-2021,Non DSO,Actionable,47.797722302932826
7,2021-02-28,02-28-2021,Non DSO,Inactionable,305.76020607447435
8,2021-03-31,03-31-2021,DSO,Actionable,3.93686589048919
9,2021-03-31,03-31-2021,DSO,Inactionable,149.15097630824775
10,2021-03-31,03-31-2021,Non DSO,Actionable,67.60161143382872
11,2021-03-31,03-31-2021,Non DSO,Inactionable,432.44492932052805
12,2021-04-30,04-30-2021,DSO,Actionable,2.5692256308520913
13,2021-04-30,04-30-2021,DSO,Inactionable,97.33694818599638
14,2021-04-30,04-30-2021,Non DSO,Actionable,44.1172744040602
15,2021-04-30,04-30-2021,Non DSO,Inactionable,282.21652127557314
16,2021-05-31,05-31-2021,DSO,Actionable,3.115488487756097
17,2021-05-31,05-31-2021,DSO,Inactionable,118.03250670755956
18,2021-05-31,05-31-2021,Non DSO,Actionable,53.49738803261184
19,2021-05-31,05-31-2021,Non DSO,Inactionable,342.22075030328045
20,2021-06-30,06-30-2021,DSO,Actionable,2.610678137825953
21,2021-06-30,06-30-2021,DSO,Inactionable,98.90740602163467
22,2021-06-30,06-30-2021,Non DSO,Actionable,44.8290731666685
23,2021-06-30,06-30-2021,Non DSO,Inactionable,286.769870804643
24,2021-07-31,07-31-2021,DSO,Actionable,1.850618648314946
25,2021-07-31,07-31-2021,DSO,Inactionable,70.11200936187481
26,2021-07-31,07-31-2021,Non DSO,Actionable,31.777765932493786
27,2021-07-31,07-31-2021,Non DSO,Inactionable,203.2811563388978
28,2021-08-31,08-31-2021,DSO,Actionable,2.78496348701462
29,2021-08-31,08-31-2021,DSO,Inactionable,105.51033096518246
30,2021-08-31,08-31-2021,Non DSO,Actionable,47.821801591308194
31,2021-08-31,08-31-2021,Non DSO,Inactionable,305.9142403635795
32,2021-09-30,09-30-2021,DSO,Actionable,2.1129841910490454
33,2021-09-30,09-30-2021,DSO,Inactionable,80.05191535231526
34,2021-09-30,09-30-2021,Non DSO,Actionable,36.28295710915646
35,2021-09-30,09-30-2021,Non DSO,Inactionable,232.1006924216195
36,2021-10-31,10-31-2021,DSO,Actionable,2.651467980239173
37,2021-10-31,10-31-2021,DSO,Inactionable,100.45275833706124
38,2021-10-31,10-31-2021,Non DSO,Actionable,45.52949303210694
39,2021-10-31,10-31-2021,Non DSO,Inactionable,291.25042996262556
40,2021-11-30,11-30-2021,DSO,Actionable,4.308635467888656
41,2021-11-30,11-30-2021,DSO,Inactionable,163.2357322977245
42,2021-11-30,11-30-2021,Non DSO,Actionable,73.98542617717376
43,2021-11-30,11-30-2021,Non DSO,Inactionable,473.28194868926647
44,2021-12-31,12-31-2021,DSO,Actionable,2.5816697913607594
45,2021-12-31,12-31-2021,DSO,Inactionable,97.80840409555334
46,2021-12-31,12-31-2021,Non DSO,Actionable,44.33095841736618
47,2021-12-31,12-31-2021,Non DSO,Inactionable,283.5834497565826
48,2020-01-31,01-31-2020,DSO,Actionable,
49,2020-01-31,01-31-2020,DSO,Inactionable,
50,2020-01-31,01-31-2020,Non DSO,Actionable,
51,2020-01-31,01-31-2020,Non DSO,Inactionable,
52,2020-02-29,02-28-2020,DSO,Actionable,
53,2020-02-29,02-28-2020,DSO,Inactionable,
54,2020-02-29,02-28-2020,Non DSO,Actionable,
55,2020-02-29,02-28-2020,Non DSO,Inactionable,
56,2020-03-31,03-31-2020,DSO,Actionable,
57,2020-03-31,03-31-2020,DSO,Inactionable,
58,2020-03-31,03-31-2020,Non DSO,Actionable,
59,2020-03-31,03-31-2020,Non DSO,Inactionable,
60,2020-04-30,04-30-2020,DSO,Actionable,
61,2020-04-30,04-30-2020,DSO,Inactionable,
62,2020-04-30,04-30-2020,Non DSO,Actionable,
63,2020-04-30,04-30-2020,Non DSO,Inactionable,
64,2020-05-31,05-31-2020,DSO,Actionable,
65,2020-05-31,05-31-2020,DSO,Inactionable,
66,2020-05-31,05-31-2020,Non DSO,Actionable,
67,2020-05-31,05-31-2020,Non DSO,Inactionable,
68,2020-06-30,06-30-2020,DSO,Actionable,
69,2020-06-30,06-30-2020,DSO,Inactionable,
70,2020-06-30,06-30-2020,Non DSO,Actionable,
71,2020-06-30,06-30-2020,Non DSO,Inactionable,
72,2020-07-31,07-31-2020,DSO,Actionable,
73,2020-07-31,07-31-2020,DSO,Inactionable,
74,2020-07-31,07-31-2020,Non DSO,Actionable,
75,2020-07-31,07-31-2020,Non DSO,Inactionable,
76,2020-08-31,08-31-2020,DSO,Actionable,
77,2020-08-31,08-31-2020,DSO,Inactionable,
78,2020-08-31,08-31-2020,Non DSO,Actionable,
79,2020-08-31,08-31-2020,Non DSO,Inactionable,
80,2020-09-30,09-30-2020,DSO,Actionable,
81,2020-09-30,09-30-2020,DSO,Inactionable,
82,2020-09-30,09-30-2020,Non DSO,Actionable,
83,2020-09-30,09-30-2020,Non DSO,Inactionable,
84,2020-10-31,10-31-2020,DSO,Actionable,
85,2020-10-31,10-31-2020,DSO,Inactionable,
86,2020-10-31,10-31-2020,Non DSO,Actionable,
87,2020-10-31,10-31-2020,Non DSO,Inactionable,
88,2020-11-30,11-30-2020,DSO,Actionable,
89,2020-11-30,11-30-2020,DSO,Inactionable,
90,2020-11-30,11-30-2020,Non DSO,Actionable,
91,2020-11-30,11-30-2020,Non DSO,Inactionable,
92,2020-12-31,12-31-2020,DSO,Actionable,
93,2020-12-31,12-31-2020,DSO,Inactionable,
94,2020-12-31,12-31-2020,Non DSO,Actionable,
95,2020-12-31,12-31-2020,Non DSO,Inactionable,
96,2022-01-31,01-31-2022,Non DSO,Inactionable,392.22771511118333
97,2022-02-28,02-28-2022,Non DSO,Inactionable,344.892005785722
