,report_date as date,report_date,Network Region,DSO Provider Flag,Discount of Adds
0,2021-01-31,01-31-2021,East,DSO,0.40180021972945845
1,2021-02-28,02-28-2021,East,DSO,0.40180021972945856
2,2021-03-31,03-31-2021,East,DSO,0.4018002197294588
3,2021-04-30,04-30-2021,East,DSO,0.40180021972945884
4,2021-05-31,05-31-2021,East,DSO,0.4018002197294585
5,2021-06-30,06-30-2021,East,DSO,0.40180021972945856
6,2021-07-31,07-31-2021,East,DSO,0.4018002197294585
7,2021-08-31,08-31-2021,East,DSO,0.4018002197294586
8,2021-09-30,09-30-2021,East,DSO,0.4018002197294586
9,2021-10-31,10-31-2021,East,DSO,0.40180021972945856
10,2021-11-30,11-30-2021,East,DSO,0.4018002197294583
11,2021-12-31,12-31-2021,East,DSO,0.4018002197294584
12,2021-01-31,01-31-2021,East,Non DSO,0.42431650459734843
13,2021-02-28,02-28-2021,East,Non DSO,0.4243165045973483
14,2021-03-31,03-31-2021,East,Non DSO,0.424316504597348
15,2021-04-30,04-30-2021,East,Non DSO,0.4243165045973483
16,2021-05-31,05-31-2021,East,Non DSO,0.42431650459734815
17,2021-06-30,06-30-2021,East,Non DSO,0.4243165045973483
18,2021-07-31,07-31-2021,East,Non DSO,0.42431650459734843
19,2021-08-31,08-31-2021,East,Non DSO,0.42431650459734804
20,2021-09-30,09-30-2021,East,Non DSO,0.42431650459734815
21,2021-10-31,10-31-2021,East,Non DSO,0.4243165045973484
22,2021-11-30,11-30-2021,East,Non DSO,0.42431650459734815
23,2021-12-31,12-31-2021,East,Non DSO,0.42431650459734815
24,2021-01-31,01-31-2021,Central,DSO,0.3645598810017636
25,2021-02-28,02-28-2021,Central,DSO,0.3645598810017635
26,2021-03-31,03-31-2021,Central,DSO,0.36455988100176345
27,2021-04-30,04-30-2021,Central,DSO,0.36455988100176356
28,2021-05-31,05-31-2021,Central,DSO,0.36455988100176356
29,2021-06-30,06-30-2021,Central,DSO,0.3645598810017635
30,2021-07-31,07-31-2021,Central,DSO,0.3645598810017635
31,2021-08-31,08-31-2021,Central,DSO,0.3645598810017635
32,2021-09-30,09-30-2021,Central,DSO,0.3645598810017636
33,2021-10-31,10-31-2021,Central,DSO,0.3645598810017636
34,2021-11-30,11-30-2021,Central,DSO,0.36455988100176334
35,2021-12-31,12-31-2021,Central,DSO,0.36455988100176345
36,2021-01-31,01-31-2021,Central,Non DSO,0.3697929307548969
37,2021-02-28,02-28-2021,Central,Non DSO,0.3697929307548966
38,2021-03-31,03-31-2021,Central,Non DSO,0.3697929307548967
39,2021-04-30,04-30-2021,Central,Non DSO,0.36979293075489694
40,2021-05-31,05-31-2021,Central,Non DSO,0.36979293075489694
41,2021-06-30,06-30-2021,Central,Non DSO,0.36979293075489666
42,2021-07-31,07-31-2021,Central,Non DSO,0.3697929307548969
43,2021-08-31,08-31-2021,Central,Non DSO,0.36979293075489683
44,2021-09-30,09-30-2021,Central,Non DSO,0.36979293075489683
45,2021-10-31,10-31-2021,Central,Non DSO,0.369792930754897
46,2021-11-30,11-30-2021,Central,Non DSO,0.3697929307548966
47,2021-12-31,12-31-2021,Central,Non DSO,0.3697929307548969
48,2021-01-31,01-31-2021,West,DSO,0.40116978032586326
49,2021-02-28,02-28-2021,West,DSO,0.4011697803258632
50,2021-03-31,03-31-2021,West,DSO,0.401169780325863
51,2021-04-30,04-30-2021,West,DSO,0.4011697803258631
52,2021-05-31,05-31-2021,West,DSO,0.4011697803258631
53,2021-06-30,06-30-2021,West,DSO,0.40116978032586303
54,2021-07-31,07-31-2021,West,DSO,0.40116978032586315
55,2021-08-31,08-31-2021,West,DSO,0.40116978032586315
56,2021-09-30,09-30-2021,West,DSO,0.40116978032586326
57,2021-10-31,10-31-2021,West,DSO,0.40116978032586315
58,2021-11-30,11-30-2021,West,DSO,0.401169780325863
59,2021-12-31,12-31-2021,West,DSO,0.40116978032586315
60,2021-01-31,01-31-2021,West,Non DSO,0.40584047932077266
61,2021-02-28,02-28-2021,West,Non DSO,0.4058404793207725
62,2021-03-31,03-31-2021,West,Non DSO,0.4058404793207726
63,2021-04-30,04-30-2021,West,Non DSO,0.4058404793207726
64,2021-05-31,05-31-2021,West,Non DSO,0.4058404793207726
65,2021-06-30,06-30-2021,West,Non DSO,0.40584047932077266
66,2021-07-31,07-31-2021,West,Non DSO,0.40584047932077255
67,2021-08-31,08-31-2021,West,Non DSO,0.4058404793207726
68,2021-09-30,09-30-2021,West,Non DSO,0.4058404793207724
69,2021-10-31,10-31-2021,West,Non DSO,0.40584047932077244
70,2021-11-30,11-30-2021,West,Non DSO,0.4058404793207725
71,2021-12-31,12-31-2021,West,Non DSO,0.40584047932077255
72,2020-01-31,01-31-2020,North,DSO,
73,2020-02-29,02-29-2020,North,DSO,
74,2020-03-31,03-31-2020,North,DSO,
75,2020-04-30,04-30-2020,North,DSO,
76,2020-05-31,05-31-2020,North,DSO,
77,2020-06-30,06-30-2020,North,DSO,
78,2020-07-31,07-31-2020,North,DSO,
79,2020-08-31,08-31-2020,North,DSO,
80,2020-09-30,09-30-2020,North,DSO,
81,2020-10-31,10-31-2020,North,DSO,
82,2020-11-30,11-30-2020,North,DSO,
83,2020-12-31,12-31-2020,North,DSO,
84,2020-01-31,01-31-2020,North,Non DSO,
85,2020-02-29,02-29-2020,North,Non DSO,
86,2020-03-31,03-31-2020,North,Non DSO,
87,2020-04-30,04-30-2020,North,Non DSO,
88,2020-05-31,05-31-2020,North,Non DSO,
89,2020-06-30,06-30-2020,North,Non DSO,
