,State,MSA,Month,YTD_Rental_Goals
0,AK,Alaska,2021-01-31,181.0
1,AK,Alaska,2021-02-28,181.0
2,AK,Alaska,2021-03-31,182.0
3,AK,Alaska,2021-04-30,182.0
4,AK,Alaska,2021-05-31,182.0
5,AK,Alaska,2021-06-30,182.0
6,AK,Alaska,2021-07-31,182.0
7,AK,Alaska,2021-08-31,182.0
8,AK,Alaska,2021-09-30,183.0
9,AK,Alaska,2021-10-31,183.0
10,AK,Alaska,2021-11-30,183.0
11,AK,Alaska,2021-12-31,183.0
12,AL,Birmingham AL,2021-01-31,74.0
13,AL,Birmingham AL,2021-02-28,74.0
14,AL,Birmingham AL,2021-03-31,76.0
15,AL,Birmingham AL,2021-04-30,76.0
16,AL,Birmingham AL,2021-05-31,76.0
17,AL,Birmingham AL,2021-06-30,76.0
18,AL,Birmingham AL,2021-07-31,76.0
19,AL,Birmingham AL,2021-08-31,76.0
20,AL,Birmingham AL,2021-09-30,77.0
21,AL,Birmingham AL,2021-10-31,77.0
22,AL,Birmingham AL,2021-11-30,77.0
23,AL,Birmingham AL,2021-12-31,77.0
24,AL,Mobile AL,2021-01-31,96.0
25,AL,Mobile AL,2021-02-28,97.0
26,AL,Mobile AL,2021-03-31,97.0
27,AL,Mobile AL,2021-04-30,97.0
28,AL,Mobile AL,2021-05-31,97.0
29,AL,Mobile AL,2021-06-30,98.0
30,AL,Mobile AL,2021-07-31,98.0
31,AL,Mobile AL,2021-08-31,98.0
32,AL,Mobile AL,2021-09-30,98.0
33,AL,Mobile AL,2021-10-31,99.0
34,AL,Mobile AL,2021-11-30,99.0
35,AL,Mobile AL,2021-12-31,99.0
36,AL,Montgomery AL,2021-01-31,117.0
37,AL,Montgomery AL,2021-02-28,117.0
38,AL,Montgomery AL,2021-03-31,122.0
39,AL,Montgomery AL,2021-04-30,122.0
40,AL,Montgomery AL,2021-05-31,122.0
41,AL,Montgomery AL,2021-06-30,122.0
42,AL,Montgomery AL,2021-07-31,122.0
43,AL,Montgomery AL,2021-08-31,122.0
44,AL,Montgomery AL,2021-09-30,122.0
45,AL,Montgomery AL,2021-10-31,122.0
46,AL,Montgomery AL,2021-11-30,122.0
47,AL,Montgomery AL,2021-12-31,122.0
48,AL,Other AL,2021-01-31,189.0
49,AL,Other AL,2021-02-28,189.0
50,AL,Other AL,2021-03-31,191.0
51,AL,Other AL,2021-04-30,192.0
52,AL,Other AL,2021-05-31,192.0
53,AL,Other AL,2021-06-30,193.0
54,AL,Other AL,2021-07-31,194.0
55,AL,Other AL,2021-08-31,194.0
56,AL,Other AL,2021-09-30,195.0
57,AL,Other AL,2021-10-31,196.0
58,AL,Other AL,2021-11-30,196.0
59,AL,Other AL,2021-12-31,197.0
60,AR,Arkansas,2021-01-31,315.0
61,AR,Arkansas,2021-02-28,315.0
62,AR,Arkansas,2021-03-31,317.0
63,AR,Arkansas,2021-04-30,317.0
64,AR,Arkansas,2021-05-31,318.0
65,AR,Arkansas,2021-06-30,318.0
66,AR,Arkansas,2021-07-31,319.0
67,AR,Arkansas,2021-08-31,319.0
68,AR,Arkansas,2021-09-30,320.0
69,AR,Arkansas,2021-10-31,320.0
70,AR,Arkansas,2021-11-30,321.0
71,AR,Arkansas,2021-12-31,321.0
72,AZ,Other AZ,2021-01-31,320.0
73,AZ,Other AZ,2021-02-28,321.0
74,AZ,Other AZ,2021-03-31,332.0
75,AZ,Other AZ,2021-04-30,333.0
76,AZ,Other AZ,2021-05-31,333.0
77,AZ,Other AZ,2021-06-30,334.0
78,AZ,Other AZ,2021-07-31,334.0
79,AZ,Other AZ,2021-08-31,334.0
80,AZ,Other AZ,2021-09-30,335.0
81,AZ,Other AZ,2021-10-31,335.0
82,AZ,Other AZ,2021-11-30,336.0
83,AZ,Other AZ,2021-12-31,336.0
84,AZ,Phoenix AZ,2021-01-31,828.0
85,AZ,Phoenix AZ,2021-02-28,828.0
86,AZ,Phoenix AZ,2021-03-31,831.0
87,AZ,Phoenix AZ,2021-04-30,832.0
88,AZ,Phoenix AZ,2021-05-31,832.0
89,AZ,Phoenix AZ,2021-06-30,833.0
90,AZ,Phoenix AZ,2021-07-31,834.0
91,AZ,Phoenix AZ,2021-08-31,834.0
92,AZ,Phoenix AZ,2021-09-30,835.0
93,AZ,Phoenix AZ,2021-10-31,836.0
94,AZ,Phoenix AZ,2021-11-30,836.0
95,AZ,Phoenix AZ,2021-12-31,837.0
96,AZ,Tucson AZ,2021-01-31,457.0
97,AZ,Tucson AZ,2021-02-28,457.0
98,AZ,Tucson AZ,2021-03-31,471.0
99,AZ,Tucson AZ,2021-04-30,470.0
100,AZ,Tucson AZ,2021-05-31,470.0
101,AZ,Tucson AZ,2021-06-30,470.0
102,AZ,Tucson AZ,2021-07-31,470.0
103,AZ,Tucson AZ,2021-08-31,470.0
104,AZ,Tucson AZ,2021-09-30,470.0
105,AZ,Tucson AZ,2021-10-31,469.0
106,AZ,Tucson AZ,2021-11-30,469.0
107,AZ,Tucson AZ,2021-12-31,469.0
108,CA,Bakersfield CA,2021-01-31,1062.0
109,CA,Bakersfield CA,2021-02-28,1062.0
110,CA,Bakersfield CA,2021-03-31,1065.0
111,CA,Bakersfield CA,2021-04-30,1066.0
112,CA,Bakersfield CA,2021-05-31,1066.0
113,CA,Bakersfield CA,2021-06-30,1067.0
114,CA,Bakersfield CA,2021-07-31,1068.0
115,CA,Bakersfield CA,2021-08-31,1068.0
116,CA,Bakersfield CA,2021-09-30,1069.0
117,CA,Bakersfield CA,2021-10-31,1070.0
118,CA,Bakersfield CA,2021-11-30,1070.0
119,CA,Bakersfield CA,2021-12-31,1071.0
120,CA,Fresno CA,2021-01-31,995.0
121,CA,Fresno CA,2021-02-28,998.0
122,CA,Fresno CA,2021-03-31,1007.0
123,CA,Fresno CA,2021-04-30,1010.0
124,CA,Fresno CA,2021-05-31,1013.0
125,CA,Fresno CA,2021-06-30,1016.0
126,CA,Fresno CA,2021-07-31,1018.0
127,CA,Fresno CA,2021-08-31,1021.0
128,CA,Fresno CA,2021-09-30,1024.0
129,CA,Fresno CA,2021-10-31,927.0
