,report_date as date,report_date,Sales Region,DSO Provider Flag,Discount of Adds
0,2021-01-31,01-31-2021,North,DSO,0.3845344279121426
1,2021-02-28,02-28-2021,North,DSO,0.3845344279121427
2,2021-03-31,03-31-2021,North,DSO,0.3845344279121424
3,2021-04-30,04-30-2021,North,DSO,0.3845344279121426
4,2021-05-31,05-31-2021,North,DSO,0.3845344279121425
5,2021-06-30,06-30-2021,North,DSO,0.3845344279121425
6,2021-07-31,07-31-2021,North,DSO,0.3845344279121425
7,2021-08-31,08-31-2021,North,DSO,0.3845344279121425
8,2021-09-30,09-30-2021,North,DSO,0.38453442791214265
9,2021-10-31,10-31-2021,North,DSO,0.3845344279121427
10,2021-11-30,11-30-2021,North,DSO,0.3845344279121427
11,2021-12-31,12-31-2021,North,DSO,0.3845344279121425
12,2021-01-31,01-31-2021,North,Non DSO,0.41022131314465055
13,2021-02-28,02-28-2021,North,Non DSO,0.41022131314465043
14,2021-03-31,03-31-2021,North,Non DSO,0.4102213131446504
15,2021-04-30,04-30-2021,North,Non DSO,0.4102213131446507
16,2021-05-31,05-31-2021,North,Non DSO,0.4102213131446509
17,2021-06-30,06-30-2021,North,Non DSO,0.4102213131446503
18,2021-07-31,07-31-2021,North,Non DSO,0.41022131314465043
19,2021-08-31,08-31-2021,North,Non DSO,0.41022131314465027
20,2021-09-30,09-30-2021,North,Non DSO,0.4102213131446504
21,2021-10-31,10-31-2021,North,Non DSO,0.41022131314465066
22,2021-11-30,11-30-2021,North,Non DSO,0.41022131314465043
23,2021-12-31,12-31-2021,North,Non DSO,0.41022131314465043
24,2021-01-31,01-31-2021,Mid-Atlantic South,DSO,0.394067444597209
25,2021-02-28,02-28-2021,Mid-Atlantic South,DSO,0.394067444597209
26,2021-03-31,03-31-2021,Mid-Atlantic South,DSO,0.39406744459720916
27,2021-04-30,04-30-2021,Mid-Atlantic South,DSO,0.3940674445972091
28,2021-05-31,05-31-2021,Mid-Atlantic South,DSO,0.3940674445972092
29,2021-06-30,06-30-2021,Mid-Atlantic South,DSO,0.39406744459720905
30,2021-07-31,07-31-2021,Mid-Atlantic South,DSO,0.394067444597209
31,2021-08-31,08-31-2021,Mid-Atlantic South,DSO,0.3940674445972092
32,2021-09-30,09-30-2021,Mid-Atlantic South,DSO,0.39406744459720905
33,2021-10-31,10-31-2021,Mid-Atlantic South,DSO,0.394067444597209
34,2021-11-30,11-30-2021,Mid-Atlantic South,DSO,0.3940674445972092
35,2021-12-31,12-31-2021,Mid-Atlantic South,DSO,0.3940674445972088
36,2021-01-31,01-31-2021,Mid-Atlantic South,Non DSO,0.39958909113858954
37,2021-02-28,02-28-2021,Mid-Atlantic South,Non DSO,0.39958909113858954
38,2021-03-31,03-31-2021,Mid-Atlantic South,Non DSO,0.3995890911385893
39,2021-04-30,04-30-2021,Mid-Atlantic South,Non DSO,0.39958909113858965
40,2021-05-31,05-31-2021,Mid-Atlantic South,Non DSO,0.3995890911385892
41,2021-06-30,06-30-2021,Mid-Atlantic South,Non DSO,0.3995890911385894
42,2021-07-31,07-31-2021,Mid-Atlantic South,Non DSO,0.39958909113858965
43,2021-08-31,08-31-2021,Mid-Atlantic South,Non DSO,0.39958909113858937
44,2021-09-30,09-30-2021,Mid-Atlantic South,Non DSO,0.3995890911385893
45,2021-10-31,10-31-2021,Mid-Atlantic South,Non DSO,0.3995890911385895
46,2021-11-30,11-30-2021,Mid-Atlantic South,Non DSO,0.3995890911385894
47,2021-12-31,12-31-2021,Mid-Atlantic South,Non DSO,0.3995890911385893
48,2021-01-31,01-31-2021,Western,DSO,0.39016626035968305
49,2021-02-28,02-28-2021,Western,DSO,0.39016626035968305
50,2021-03-31,03-31-2021,Western,DSO,0.3901662603596829
51,2021-04-30,04-30-2021,Western,DSO,0.3901662603596828
52,2021-05-31,05-31-2021,Western,DSO,0.39016626035968316
53,2021-06-30,06-30-2021,Western,DSO,0.3901662603596829
54,2021-07-31,07-31-2021,Western,DSO,0.390166260359683
55,2021-08-31,08-31-2021,Western,DSO,0.3901662603596831
56,2021-09-30,09-30-2021,Western,DSO,0.39016626035968327
57,2021-10-31,10-31-2021,Western,DSO,0.39016626035968316
58,2021-11-30,11-30-2021,Western,DSO,0.390166260359683
59,2021-12-31,12-31-2021,Western,DSO,0.390166260359683
60,2021-01-31,01-31-2021,Western,Non DSO,0.3985873520962521
61,2021-02-28,02-28-2021,Western,Non DSO,0.3985873520962517
62,2021-03-31,03-31-2021,Western,Non DSO,0.3985873520962518
