,report_date as date,report_date,DSO Provider Flag,Adds,Savings,Discount of Adds
0,2021-01-31,01-31-2021,DSO,245,304495.5365765102,0.3903777661177821
1,2021-01-31,01-31-2021,Non DSO,447,600392.681548571,0.4023392748073881
2,2021-02-28,02-28-2021,DSO,191,237557.31941943697,0.3903777661177821
3,2021-02-28,02-28-2021,Non DSO,349,468406.4588640963,0.40233927480738796
4,2021-03-31,03-31-2021,DSO,237,294768.0070849674,0.39037776611778213
5,2021-03-31,03-31-2021,Non DSO,433,581212.3100333294,0.4023392748073885
6,2021-04-30,04-30-2021,DSO,181,224976.19157950414,0.3903777661177821
7,2021-04-30,04-30-2021,Non DSO,330,443599.4709993509,0.4023392748073878
8,2021-05-31,05-31-2021,DSO,192,238323.6339421479,0.3903777661177819
9,2021-05-31,05-31-2021,Non DSO,350,469917.4486026419,0.4023392748073879
10,2021-06-30,06-30-2021,DSO,141,175327.95739743172,0.3903777661177825
11,2021-06-30,06-30-2021,Non DSO,257,345704.977077152,0.40233927480738774
12,2021-07-31,07-31-2021,DSO,191,236618.1516999821,0.3903777661177815
13,2021-07-31,07-31-2021,Non DSO,347,466554.6437871102,0.4023392748073879
14,2021-08-31,08-31-2021,DSO,358,443846.0713443223,0.39037776611778197
15,2021-08-31,08-31-2021,Non DSO,651,875158.7493377173,0.4023392748073881
16,2021-09-30,09-30-2021,DSO,328,406905.1581714142,0.390377766117782
17,2021-09-30,09-30-2021,Non DSO,597,802320.066156684,0.4023392748073881
18,2021-10-31,10-31-2021,DSO,219,272213.7971122089,0.3903777661177822
19,2021-10-31,10-31-2021,Non DSO,400,536740.7793238752,0.4023392748073883
20,2021-11-30,11-30-2021,DSO,376,466887.48995715217,0.3903777661177819
21,2021-11-30,11-30-2021,Non DSO,685,920590.9394551052,0.4023392748073882
22,2021-12-31,12-31-2021,DSO,170,211085.8550258368,0.39037776611778174
23,2021-12-31,12-31-2021,Non DSO,310,416211.0353433393,0.40233927480738807
24,2020-01-31,01-31-2020,DSO,,,
25,2020-01-31,01-31-2020,Non DSO,,,
26,2020-02-29,02-29-2020,DSO,,,
27,2020-02-29,02-29-2020,Non DSO, ,,
28,2020-03-31,03-31-2020,DSO,,,
29,2020-03-31,03-31-2020,Non DSO,,,
30,2020-04-30,04-30-2020,DSO,,,
31,2020-04-30,04-30-2020,Non DSO,,,
32,2020-05-31,05-31-2020,DSO,,,
33,2020-05-31,05-31-2020,Non DSO,,,
34,2020-06-30,06-30-2020,DSO,,,
35,2020-06-30,06-30-2020,Non DSO,,,
36,2020-07-31,07-31-2020,DSO,,,
37,2020-07-31,07-31-2020,Non DSO,,,
38,2020-08-31,08-31-2020,DSO,,,
39,2020-08-31,08-31-2020,Non DSO,,,
40,2020-09-30,09-30-2020,DSO,,,
41,2020-09-30,09-30-2020,Non DSO,,,
42,2020-10-31,10-31-2020,DSO,,,
43,2020-10-31,10-31-2020,Non DSO,,,
44,2020-11-30,11-30-2020,DSO,,,
45,2020-11-30,11-30-2020,Non DSO,,,
46,2020-12-31,12-31-2020,DSO,,,
47,2020-12-31,12-31-2020,Non DSO,,,
48,2022-01-31,01-31-2022,Non DSO,293.5327744326357,22041.096472516478,0.4230288028127956
49,2022-02-28,02-28-2022,Non DSO,373.6610295494307,28057.85083535512,0.4230288028127956
50,2022-03-31,03-31-2022,Non DSO,351.88114826488703,26422.420292784638,0.4230288028127956
51,2022-04-30,04-30-2022,Non DSO,328.6570764728234,24678.546860446684,0.4230288028127956
52,2022-05-31,05-31-2022,Non DSO,276.98826547301786,20798.785051673636,0.4230288028127956
53,2022-06-30,06-30-2022,Non DSO,285.62187124928926,21447.074286796662,0.4230288028127956
54,2022-07-31,07-31-2022,Non DSO,371.0313936932937,27860.39398337416,0.4230288028127956
55,2022-08-31,08-31-2022,Non DSO,378.486607005029,28420.198850632205,0.4230288028127956
56,2022-09-30,09-30-2022,Non DSO,413.4701718396405,31047.081415833338,0.4230288028127956
57,2022-10-31,10-31-2022,Non DSO,389.4837548652282,29245.964209807815,0.4230288028127956
58,2022-11-30,11-30-2022,Non DSO,375.7624317595028,28215.643125941016,0.4230288028127956
59,2022-12-31,12-31-2022,Non DSO,362.42347539522177,27214.033596524463,0.4230288028127956
60,2022-01-31,01-31-2022,DSO,145.54362512334686,9707.59446222016,0.4175259801812045
61,2022-02-28,02-28-2022,DSO,185.2739644254854,12357.56296111321,0.4175259801812045
62,2022-03-31,03-31-2022,DSO,174.47475168668404,11637.267739040244,0.4175259801812045
63,2022-04-30,04-30-2022,DSO,162.95945972218308,10869.210846059184,0.4175259801812045
64,2022-05-31,05-31-2022,DSO,137.34028968824,9160.441307459256,0.4175259801812045
65,2022-06-30,06-30-2022,DSO,141.62112778202084,9445.968345401516,0.4175259801812045
66,2022-07-31,07-31-2022,DSO,183.97010070533938,12270.596732132364,0.4175259801812045
67,2022-08-31,08-31-2022,DSO,187.66665136669255,12517.15246206596,0.4175259801812045
68,2022-09-30,09-30-2022,DSO,205.0127036281769,13674.114443274408,0.4175259801812045
69,2022-10-31,10-31-2022,DSO,193.11941475464658,12880.845585855057,0.4175259801812045
70,2022-11-30,11-30-2022,DSO,186.31591177220767,12427.0596655164,0.4175259801812045
71,2022-12-31,12-31-2022,DSO,179.70199934497666,11985.919219840516,0.4175259801812045
